sep=,



=======================================================
Image Data:,../shared/images/animal_sq_1.png,PNG,1152x1153,1152x1153+0+0,8-bit,sRGB,2.31963MiB,0.000u,0:00.000,
-------------------------------------------------------

Format,SRC_PATH,SRC_SIZE,RES_SIZE,ENC_TIME,DEC_TIME,DIFF_SIZE(%),QUALITY,SSIM,PSNR,MSE,RMSE,UQI,ERGAS,SCC,RASE,SAM,VIFP,PSNRB,FSIM,SRE
AVIF,./result/res_avif_1.avif,2432313,543255,2483,446,78,5,0.9954016583993047,41.870596730543575,4.226887487552601,2.0559395632052517,0.9996065188852808,0.36101070695134013,0.9455696122016981,98.63732883538916,0.013097737412395241,0.8593580909725969,39.92883205538368,0.8960499790068782,71.13155861502281,
JPEG XL,./result/res_jxl_1.jxl,2432313,517257,423,465,79,96,0.9941129368963587,40.75891835797815,5.459948232870772,2.336653211940268,0.9994537880149101,0.4106955976660334,0.9387781018662351,111.86248171101121,0.014752909867999632,0.836915178188502,38.46560712446006,0.8868459590363544,70.76646749717654,
libjpeg Image Magick,./result/res_jpeg_1.jpg,2432313,541942,116,468,78,90,0.9905520116378789,39.24718368910091,7.733248962047477,2.7808719787231264,0.9995595758031269,0.4838017666228185,0.8833416829186701,136.88225593769778,0.018012670244098094,0.7809825026490721,37.82533287001834,0.8785843826674834,69.50110177191073,
WebP,./result/res_webp_1.webp,2432313,545706,892,226,78,95,0.9940394256496515,40.85714115271468,5.337848527191546,2.3103784380900776,0.9995903699993031,0.4044795840449698,0.930015470316512,111.9998681117441,0.014801725473650584,0.8299934016397804,39.07660624938148,0.8883774854281105,70.5003637284988,
FLIF,./result/res_flif_1.flif,2432313,533723,6003,843,78,66,0.9940453636119937,41.17281772268897,4.963620717692975,2.2279184719582927,0.999655576241492,0.3863572027169643,0.9290896868553995,109.10581939630558,0.014333989718411438,0.8324281305267128,40.45981925760294,0.8873204624207736,70.51744677943502,
BPG,./result/res_bpg_1.bpg,2432313,548861,340,495,77,1,0.985155286657995,37.99901917793356,10.308095728534258,3.2106223272964165,0.9995059006374131,0.5557506055333713,0.8626173115414715,158.62336731814963,0.020841151261823527,0.734933223049561,37.90238857815766,0.8654428921494274,68.80487667149711,
JPEG jpeglib-turbo,./result/res_jpeg_turbo_1.jpg,2432313,542743,45,47,78,93,0.9909002103100155,39.04327484760418,8.104997329832,2.84692770014133,0.9994378169829207,0.4976713558676257,0.9012771636474175,138.21266336568655,0.018316077505487572,0.7834456322376434,37.51796499804737,0.8777460300617328,69.53695520000578,
guetzli,./result/res_jpegGUETZLI_1.jpg,2432313,545710,92561,510,78,96,0.9916500350588905,39.17925258795501,7.8551612038643155,2.802706050206535,0.9995273533631384,0.49028101270676366,0.9025939672946834,134.55373032310095,0.018068061172314062,0.785277517108527,37.11155709867752,0.8753945842201999,69.58348443067382,
mozjpeg,./result/res_jpegMOZ_1.jpg,2432313,545756,345,55,78,92,0.9917236376796185,39.79993206133203,6.809059900099579,2.609417540390878,0.9996458240431391,0.4533040587616502,0.8875263571265427,127.47685612566114,0.016918884658198453,0.7934880627931752,38.33094649670577,0.8857437062901846,69.7496122635105,



